epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,111.83,0.80182,0.39606,0.87,0.97568,1,0.995,0.79557,1.01912,0.46661,0.87475,0.000759318,0.000759318,0.000759318
112,113.233,0.77896,0.38507,0.85706,0.9871,1,0.995,0.78303,1.04808,0.4755,0.88004,0.000751067,0.000751067,0.000751067
113,114.565,0.77009,0.38317,0.84798,0.98746,1,0.995,0.78698,1.05489,0.47379,0.88493,0.000742815,0.000742815,0.000742815
114,115.866,0.80906,0.3902,0.85146,0.98791,1,0.995,0.7791,1.05558,0.47563,0.88508,0.000734564,0.000734564,0.000734564
115,117.246,0.79817,0.38897,0.86177,0.9879,1,0.995,0.77782,1.05313,0.47,0.88236,0.000726312,0.000726312,0.000726312
116,118.551,0.80008,0.40086,0.86528,0.9873,0.995,0.99128,0.79174,1.07574,0.48546,0.89034,0.00071806,0.00071806,0.00071806
117,119.781,0.79805,0.39542,0.86287,0.98661,0.995,0.99137,0.79821,1.06708,0.47045,0.89227,0.000709809,0.000709809,0.000709809
118,121.061,0.78575,0.38599,0.84971,0.99205,0.99948,0.995,0.79977,1.02454,0.44465,0.88196,0.000701557,0.000701557,0.000701557
119,122.293,0.78896,0.39012,0.85922,0.99215,0.99997,0.995,0.80393,1.0205,0.45878,0.88006,0.000693305,0.000693305,0.000693305
120,123.654,0.80964,0.39947,0.84982,0.99211,1,0.995,0.82096,0.99994,0.43601,0.87138,0.000685054,0.000685054,0.000685054
121,124.941,0.74909,0.37371,0.84912,0.99217,1,0.995,0.81891,1.00195,0.43112,0.87296,0.000676802,0.000676802,0.000676802
122,126.284,0.80168,0.37666,0.86073,0.99331,1,0.995,0.80528,1.02033,0.45404,0.87109,0.00066855,0.00066855,0.00066855
123,127.721,0.77211,0.37544,0.8522,0.99768,0.99948,0.995,0.7967,1.05605,0.45883,0.8797,0.000660299,0.000660299,0.000660299
124,128.753,0.79094,0.38532,0.84957,0.9944,0.96623,0.99381,0.78,1.07353,0.47208,0.89165,0.000652047,0.000652047,0.000652047
125,129.58,0.77751,0.37893,0.85176,0.9983,0.96593,0.99268,0.77774,1.08647,0.48718,0.89618,0.000643795,0.000643795,0.000643795
126,130.403,0.79223,0.37866,0.84754,0.99449,0.99735,0.995,0.80369,1.01233,0.4584,0.87868,0.000635544,0.000635544,0.000635544
